,tanggal,kelurahan,avg_ketinggian,jumlah_terdampak_jiwa
140,2019-01,JATIPADANG,45.0,240
141,2019-01,JELAMBAR BARU,20.0,0
142,2019-01,KAMAL,6.5,0
143,2019-01,KAMAL MUARA,11.5,0
144,2019-01,KAMPUNG MELAYU,20.0,213
145,2019-01,KEDAUNG KALI ANGKE,17.5,0
146,2019-01,KEDOYA SELATAN,35.0,0
147,2019-01,KEDOYA UTARA,25.0,0
148,2019-01,KELAPA GADING BARAT,15.0,0
149,2019-01,KEMBANGAN UTARA,17.5,0
150,2019-01,KOTA BAMBU UTARA,20.0,0
151,2019-01,MARUNDA,15.0,0
152,2019-01,PEGADUNGAN,50.0,0
153,2019-01,PEGANGSAAN DUA,20.0,0
154,2019-01,PEJAGALAN,12.5,0
155,2019-01,PENJARINGAN,7.5,0
156,2019-01,PLUIT,21.5,0
157,2019-01,RAWA BUAYA,35.0,0
158,2019-01,RAWA TERATE,22.5,0
159,2019-01,ROROTAN,15.0,0
160,2019-01,SEMPER TIMUR,17.5,0
161,2019-01,SUKAPURA,15.0,0
162,2019-01,TANJUNG PRIOK,17.5,0
163,2019-01,TEGAL ALUR,45.0,0
164,2019-01,TUGU SELATAN,20.0,0
165,2019-01,WIJAYA KUSUMA ,15.0,0
166,2019-02,BIDARA CINA,87.5,0
167,2019-02,CAWANG,50.0,0
168,2019-02,CILANDAK BARAT,45.0,0
169,2019-02,CILANDAK TIMUR,60.0,0
170,2019-02,CILILITAN,55.0,0
171,2019-02,CIPEDAK,60.0,0
172,2019-02,CIPINANG MELAYU,50.0,0
173,2019-02,CIPINANG MUARA,30.0,0
174,2019-02,CIPULIR,40.0,0
175,2019-02,DUREN TIGA,55.0,0
176,2019-02,GROGOL SELATAN,30.0,0
177,2019-02,KALIBATA,35.0,0
178,2019-02,KAMAL,5.0,0
179,2019-02,KAMAL MUARA,5.0,0
180,2019-02,KAMPUNG MELAYU,55.0,1003
181,2019-02,KEBON BARU,7.5,0
182,2019-02,KEL BALEKAMBANG,67.5,0
183,2019-02,KEL PETOGOGAN,40.0,0
184,2019-02,KEMBANGAN UTARA,55.0,0
185,2019-02,KUNINGAN BARAT,30.0,0
186,2019-02,MANGGARAI,15.0,0
187,2019-02,PEJATEN TIMUR,60.0,171
188,2019-02,PEKAYON,40.0,0
189,2019-02,PENGEDEGAN,80.0,12
190,2019-02,RAWAJATI,45.0,0
191,2019-03,ANCOL,27.5,0
192,2019-03,CENGKARENG BARAT,50.0,0
193,2019-03,CENGKARENG TIMUR,30.0,0
194,2019-03,CILANDAK TIMUR,80.0,0
195,2019-03,CILINCING,30.0,0
196,2019-03,CIPINANG MELAYU,7.5,0
197,2019-03,CIRACAS,50.0,0
198,2019-03,DURI KEPA,30.0,0
199,2019-03,JATI PADANG,35.0,0
200,2019-03,JATINEGARA,20.0,0
201,2019-03,JELAMBAR ,35.0,0
202,2019-03,JELAMBAR BARU,40.0,0
203,2019-03,JEMBATAN LIMA,40.0,0
204,2019-03,JOGLO,15.0,0
205,2019-03,KALIBARU,30.0,0
206,2019-03,KALISARI,50.0,0
207,2019-03,KAMAL MUARA,50.0,0
208,2019-03,KAMPUNG MELAYU,55.0,925
209,2019-03,KAPUK,32.5,0
210,2019-03,KEBON BAWANG,10.0,0
211,2019-03,KEDAUNG KALI ANGKE,57.5,85
212,2019-03,KEDOYA SELATAN,25.0,0
213,2019-03,KEDOYA UTARA,32.5,0
214,2019-03,KEL.CAWANG,45.0,0
215,2019-03,KEMBANGAN SELATAN,20.0,0
216,2019-03,KEMBANGAN UTARA,35.0,0
217,2019-03,KRAMAT,20.0,0
218,2019-03,PEGANGSAAN DUA,30.0,0
219,2019-03,PEJAGALAN,22.5,0
220,2019-03,PENJARINGAN,30.0,0
221,2019-03,PETOGOGAN,60.0,0
222,2019-03,PLUIT,40.0,0
223,2019-03,PONDOK LABU,20.0,0
224,2019-03,RAWA BADAK SELATAN,15.0,0
225,2019-03,RAWA BUAYA,45.0,0
226,2019-03,RAWA TERATE,15.0,0
227,2019-03,RAWAJATI,20.0,0
228,2019-03,ROROTAN,50.0,0
229,2019-03,SEMPER TIMUR,30.0,0
230,2019-03,SUNGAI BAMBU,15.0,0
231,2019-03,TANJUNG PRIOK,25.0,0
232,2019-03,TEGAL ALUR,47.5,0
233,2019-03,WARAKAS,50.0,0
234,2019-04,BALEKAMBANG,50.0,0
235,2019-04,BANGKA,52.5,0
236,2019-04,BIDARA CINA,120.0,3496
237,2019-04,CAWANG,80.0,1384
238,2019-04,CENGKARENG BARAT,40.0,0
239,2019-04,CIBUBUR,15.0,0
240,2019-04,CIKOKO,25.0,0
241,2019-04,CILILITAN,95.0,0
242,2019-04,CIPETE UTARA,60.0,0
243,2019-04,CIPINANG MELAYU,40.0,0
244,2019-04,CIPULIR,15.0,0
245,2019-04,JAGAKARSA,15.0,0
246,2019-04,JATI PADANG,35.0,0
247,2019-04,KAMAL MUARA ,6.5,0
248,2019-04,KAMPUNG MELAYU,130.0,2312
249,2019-04,KEBON BARU,30.0,7
250,2019-04,KEBON MANGGIS,15.0,0
251,2019-04,KEBON PALA,30.0,0
252,2019-04,KEDOYA SELATAN,20.0,0
253,2019-04,KELAPA DUA WETAN,20.0,0
254,2019-04,KEMBANGAN SELATAN,20.0,0
255,2019-04,KEMBANGAN UTARA,75.0,138
256,2019-04,LENTENG AGUNG,40.0,0
257,2019-04,MAKASAR,55.0,0
258,2019-04,MANGGARAI,75.0,0
259,2019-04,PEJATEN TIMUR,5.0,875
260,2019-04,PENGADEGAN,130.0,639
261,2019-04,PETOGOGAN,25.0,0
262,2019-04,PONDOK LABU,30.0,0
263,2019-04,PONDOK PINANG,35.0,0
264,2019-04,RAMBUTAN,30.0,0
265,2019-04,RAWA BUAYA,50.0,0
266,2019-04,RAWAJATI,65.0,0
267,2019-04,SRENGSENG SAWAH,30.0,0
268,2019-05,BIDARA CINA,25.0,0
269,2019-05,CIPINANG MELAYU,60.0,0
270,2019-05,CIPULIR,15.0,0
271,2019-05,JAGAKARSA,20.0,0
272,2019-05,KAMPUNG MELAYU,12.5,0
273,2019-05,PEJATEN TIMUR,30.0,355
274,2019-05,PONDOK PINANG,20.0,0
275,2019-10,BALEKAMBANG,25.0,0
276,2019-10,BIDARA CINA,30.0,169
277,2019-10,CAWANG,65.0,0
278,2019-10,KAMPUNG MELAYU,35.0,1034
279,2019-10,KEBON BARU,20.0,0
280,2019-10,PEJATEN TIMUR,80.0,0
281,2019-10,PENGADEGAN,30.0,0
282,2019-12,BATU AMPAR,40.0,0
283,2019-12,BIDARA CINA,35.0,0
284,2019-12,CAWANG,50.0,0
285,2019-12,CIPETE UTARA,47.5,0
286,2019-12,CIPULIR,32.5,0
287,2019-12,GUNUNG,65.0,0
288,2019-12,JATI PADANG,40.0,0
289,2019-12,KAMAL ,30.0,0
290,2019-12,KAMPUNG MELAYU,30.0,337
291,2019-12,KEBAYORAN LAMA SELATAN ,50.0,0
292,2019-12,KEBON PALA,40.0,0
293,2019-12,KEL CILANDAK BARAT,60.0,0
294,2019-12,KEL PONDOK LABU,50.0,0
295,2019-12,KOTA BAMBU UTARA,25.0,0
296,2019-12,PALMERAH,40.0,0
297,2019-12,PETOGOGAN,45.0,0
298,2019-12,PONDOK PINANG,50.0,0
299,2019-12,RAWA BUAYA,15.0,0
300,2019-12,SUKABUMI SELATAN ,60.0,0
301,2019-12,TEGAL ALUR,50.0,1264
302,2020-01,ANCOL,20.0,0
303,2020-01,BALE KAMBANG,90.5,177
304,2020-01,BAMBU APUS,90.5,48
305,2020-01,BANGKA,90.5,1041
306,2020-01,BATU AMPAR,90.5,24
307,2020-01,BENDUNGAN HILIR,50.5,195
308,2020-01,BIDARA CINA,115.5,3577
309,2020-01,BINTARO,110.5,596
310,2020-01,BUKIT DURI,135.5,228
311,2020-01,CAKUNG BARAT,90.5,850
312,2020-01,CAKUNG TIMUR,40.0,658
313,2020-01,CAWANG,135.5,1500
314,2020-01,CEGER,50.5,80
315,2020-01,CENGKARENG BARAT,50.5,2220
316,2020-01,CENGKARENG TIMUR,40.0,362
317,2020-01,CIBUBUR,40.0,20
318,2020-01,CIGANJUR,65.0,150
319,2020-01,CIJANTUNG,50.5,207
320,2020-01,CIKOKO,110.5,147
321,2020-01,CILANDAK BARAT,125.5,300
322,2020-01,CILANDAK TIMUR,123.0,440
323,2020-01,CILILITAN,135.5,58
324,2020-01,CILINCING,22.5,1121
325,2020-01,CIPAYUNG,90.5,190
326,2020-01,CIPEDAK,20.0,175
327,2020-01,CIPETE SELATAN,20.0,65
328,2020-01,CIPETE UTARA,40.0,231
329,2020-01,CIPINANG,50.5,2700
330,2020-01,CIPINANG BESAR SELATAN,110.5,279
331,2020-01,CIPINANG MELAYU,115.0,2806
332,2020-01,CIPINANG MUARA,80.0,932
333,2020-01,CIPULIR,90.0,675
334,2020-01,DUKUH,90.5,1119
335,2020-01,DUREN TIGA,20.0,345
336,2020-01,DURI KEPA,50.5,130
337,2020-01,DURI KOSAMBI,110.5,1230
338,2020-01,GEDONG,5.0,100
339,2020-01,GROGOL SELATAN,50.5,250
340,2020-01,GROGOL UTARA,40.0,0
341,2020-01,GUNTUR,50.5,25
342,2020-01,GUNUNG,110.5,40
343,2020-01,GUNUNG SAHARI SELATAN,40.0,0
344,2020-01,HALIM PERDANA KUSUMA,110.5,300
345,2020-01,JAGAKARSA,50.5,235
346,2020-01,JATI,50.5,84
347,2020-01,JATI PADANG,50.5,781
348,2020-01,JATI PULO,20.0,0
349,2020-01,JATINEGARA,20.0,150
350,2020-01,JELAMBAR BARU,50.5,60
351,2020-01,JOGLO,90.5,0
352,2020-01,JOHAR BARU,20.0,140
353,2020-01,KALIBATA,115.5,3615
354,2020-01,KALIDERES,50.5,147
355,2020-01,KAMAL,40.0,0
356,2020-01,KAMPUNG MELAYU,180.0,2556
357,2020-01,KAPUK,50.5,4461
358,2020-01,KAPUK MUARA,30.0,0
359,2020-01,KARET SEMANGGI,110.5,325
360,2020-01,KARET TENGSIN,110.5,2078
361,2020-01,KAYU PUTIH,110.5,2310
362,2020-01,KEBAGUSAN,6.0,185
363,2020-01,KEBAYORAN LAMA SELATAN,110.5,55
364,2020-01,KEBAYORAN LAMA UTARA,50.5,700
365,2020-01,KEBON BARU,57.5,1750
366,2020-01,KEBON MANGGIS,110.5,949
367,2020-01,KEBON PALA,50.5,209
368,2020-01,KEDAUNG KALI ANGKE,50.5,2804
369,2020-01,KEDOYA SELATAN,80.0,36
370,2020-01,KEDOYA UTARA,65.5,1238
371,2020-01,KELAPA DUA ,60.0,0
372,2020-01,KELAPA DUA WETAN,80.0,335
373,2020-01,KELAPA GADING BARAT,20.0,0
374,2020-01,KELAPA GADING TIMUR,20.0,100
375,2020-01,KEMANGGISAN,90.5,0
376,2020-01,KEMBANGAN SELATAN,75.5,710
377,2020-01,KEMBANGAN UTARA,60.0,961
378,2020-01,KLENDER,80.0,470
379,2020-01,KOTA BAMBU SELATAN,90.5,0
380,2020-01,KOTA BAMBU UTARA,40.0,0
381,2020-01,KRAMAT JATI,90.5,346
382,2020-01,KRAMAT PELA,110.5,52
383,2020-01,KUNINGAN BARAT,110.5,816
384,2020-01,KUNINGAN TIMUR,50.5,269
385,2020-01,LEBAK BULUS,50.5,91
386,2020-01,LENTENG AGUNG,20.0,507
387,2020-01,LUBANG BUAYA,110.5,0
388,2020-01,MAKASAR,90.5,2220
389,2020-01,MALAKA JAYA,110.5,220
390,2020-01,MAMPANG PRAPATAN,90.5,797
391,2020-01,MANGGARAI,90.5,256
392,2020-01,MANGGARAI SELATAN,110.5,0
393,2020-01,MARUNDA,20.0,0
394,2020-01,MERUYA SELATAN,80.0,0
395,2020-01,MERUYA UTARA,50.5,0
396,2020-01,PALMERAH,50.5,0
397,2020-01,PANCORAN,20.0,335
398,2020-01,PASAR BARU,40.0,625
399,2020-01,PEGADUNGAN,40.0,0
400,2020-01,PEGANGSAAN DUA,40.0,210
401,2020-01,PEJAGALAN,80.0,1168
402,2020-01,PEJATEN BARAT,70.0,0
403,2020-01,PEJATEN TIMUR,115.5,0
404,2020-01,PEKAYON,20.0,0
405,2020-01,PELA MAMPANG,80.0,1099
406,2020-01,PENGADEGAN,135.5,1540
