,kelurahan,avg_ketinggian,jumlah_terdampak_jiwa,cluster
0,ANCOL,23.541666666666668,200,0
1,BALE KAMBANG,75.25,421,0
2,BALEKAMBANG,35.25,51,0
3,BAMBU APUS,44.5,48,0
4,BANGKA,45.36904761904761,1041,0
5,BATU AMPAR,41.375,24,0
6,BENDUNGAN HILIR,42.75,195,0
7,BIDARA CINA,69.22916666666667,14089,1
8,BINTARO,39.78921568627451,596,0
9,BUKIT DURI,75.125,228,0
10,CAKUNG BARAT,55.166666666666664,948,0
11,CAKUNG TIMUR,42.5,1495,0
12,CAWANG,70.94074074074075,2072,0
13,CEGER,50.5,80,0
14,CEMPAKA BARU,35.0,0,0
15,CEMPAKA PUTIH BARAT,20.0,0,0
16,CEMPAKA PUTIH TIMUR,1.5,0,0
17,CENGKARENG BARAT,27.1,2220,0
18,CENGKARENG TIMUR,47.5,362,0
19,CIBUBUR,51.25,120,0
20,CIGANJUR,37.44444444444444,1350,0
21,CIJANTUNG,44.0,207,0
22,CIKOKO,64.0,147,0
23,CILANDAK BARAT,95.25,300,0
24,CILANDAK TIMUR,57.57142857142857,440,0
25,CILANGKAP,34.166666666666664,0,0
26,CILILITAN,58.5,619,0
27,CILINCING,19.166666666666668,1121,0
28,CIPAYUNG,47.666666666666664,190,0
29,CIPEDAK,38.75,175,0
30,CIPETE SELATAN,28.75,65,0
31,CIPETE UTARA,27.5,231,0
32,CIPINANG,45.25,2700,0
33,CIPINANG BESAR SELATAN,110.5,279,0
34,CIPINANG BESAR UTARA,15.0,0,0
35,CIPINANG CEMPEDAK,32.5,0,0
36,CIPINANG MELAYU,56.166666666666664,18330,1
37,CIPINANG MUARA,37.0,2096,0
38,CIPULIR,47.22222222222222,900,0
39,CIRACAS,43.611111111111114,0,0
40,DUKUH,52.666666666666664,1119,0
41,DUREN SAWIT,26.25,0,0
42,DUREN TIGA,36.25,345,0
43,DURI KEPA,33.0,130,0
44,DURI KOSAMBI,53.5,1230,0
45,GANDARIA SELATAN,55.0,0,0
46,GANDARIA UTARA,30.0,0,0
47,GEDONG,13.333333333333334,100,0
48,GROGOL SELATAN,50.5,250,0
49,GROGOL UTARA,30.0,0,0
50,GUNTUR,45.25,25,0
51,GUNUNG,110.5,40,0
52,GUNUNG SAHARI SELATAN,50.0,0,0
53,GUNUNG SAHARI UTARA,30.0,0,0
54,HALIM PERDANA KUSUMA,72.75,300,0
55,JAGAKARSA,35.166666666666664,235,0
56,JATI,42.75,84,0
57,JATI PADANG,34.0,781,0
58,JATI PULO,22.5,0,0
59,JATINEGARA,23.333333333333332,150,0
60,JATINEGARA KAUM,40.0,0,0
61,JELAMBAR,16.666666666666668,0,0
62,JELAMBAR BARU,29.0,60,0
63,JOGLO,90.5,0,0
64,JOHAR BARU,26.666666666666668,140,0
65,KALIBATA,46.375,3615,0
66,KALIDERES,21.375,147,0
67,KALISARI,35.0,0,0
68,KAMAL,25.0,0,0
69,KAMPUNG MELAYU,65.8423353909465,10532,1
70,KAMPUNG RAWA,20.0,0,0
71,KAPUK,22.166666666666668,4461,0
72,KAPUK MUARA,21.125,0,0
73,KARANG ANYAR,20.0,0,0
74,KARET,25.0,0,0
75,KARET SEMANGGI,77.75,325,0
76,KARET TENGSIN,85.25,2078,0
77,KAYU PUTIH,82.75,10413,1
78,KEBAGUSAN,20.875,185,0
79,KEBAYORAN LAMA SELATAN,53.5,55,0
80,KEBAYORAN LAMA UTARA,50.5,700,0
81,KEBON BARU,32.5,2170,0
82,KEBON BAWANG,25.0,0,0
83,KEBON JERUK,28.333333333333332,0,0
84,KEBON KELAPA,20.0,0,0
85,KEBON KOSONG,30.0,0,0
86,KEBON MANGGIS,56.833333333333336,2106,0
87,KEBON MELATI,42.5,0,0
88,KEBON PALA,58.333333333333336,209,0
89,KEBON SIRIH,55.0,0,0
90,KEDAUNG KALI ANGKE,38.5,2804,0
91,KEDOYA SELATAN,37.916666666666664,36,0
92,KEDOYA UTARA,39.6,1238,0
93,KELAPA DUA ,60.0,0,0
94,KELAPA DUA WETAN,51.25,335,0
95,KELAPA GADING BARAT,23.75,0,0
96,KELAPA GADING TIMUR,27.5,371,0
97,KEMANGGISAN,57.75,0,0
98,KEMAYORAN,20.0,0,0
99,KEMBANGAN SELATAN,46.09183673469388,710,0
100,KEMBANGAN UTARA,41.666666666666664,1041,0
101,KENARI,20.0,0,0
102,KLENDER,62.5,470,0
103,KOTA BAMBU SELATAN,60.25,85,0
104,KOTA BAMBU UTARA,23.75,0,0
105,KRAMAT,30.0,0,0
106,KRAMAT JATI,90.5,346,0
107,KRAMAT PELA,62.75,52,0
108,KRENDANG,30.0,0,0
109,KUNINGAN BARAT,47.625,816,0
110,KUNINGAN TIMUR,50.5,269,0
111,LEBAK BULUS,55.125,101,0
112,LENTENG AGUNG,20.0,507,0
113,LUBANG BUAYA,45.6,0,0
114,MAKASAR,46.7,5195,0
115,MALAKA JAYA,85.25,220,0
116,MALAKA SARI,50.0,0,0
117,MAMPANG PRAPATAN,48.25,797,0
118,MANGGA BESAR,35.0,0,0
119,MANGGA DUA SELATAN,30.0,0,0
120,MANGGARAI,53.875,271,0
121,MANGGARAI SELATAN,67.75,0,0
122,MARUNDA,22.5,417,0
123,MENTENG,35.0,0,0
124,MENTENG ATAS,27.5,0,0
125,MENTENG DALAM,70.0,0,0
126,MERUYA SELATAN,80.0,0,0
127,MERUYA UTARA,30.25,0,0
128,PADEMANGAN BARAT ,20.0,0,0
129,PADEMANGAN TIMUR,17.5,0,0
130,PAL MERIAM,35.0,0,0
131,PALMERAH,32.625,0,0
132,PANCORAN,20.0,335,0
133,PASAR BARU,32.5,625,0
134,PASAR MANGGIS,40.0,0,0
135,PASAR MINGGU,15.0,0,0
136,PASEBAN,20.0,0,0
137,PEGADUNGAN,29.444444444444443,0,0
138,PEGANGSAAN DUA,42.5,392,0
139,PEJAGALAN,48.333333333333336,1418,0
140,PEJATEN BARAT,34.166666666666664,0,0
141,PEJATEN TIMUR,65.24107142857143,1542,0
142,PEKAYON,36.52777777777778,0,0
143,PEKOJAN,40.0,0,0
144,PELA MAMPANG,41.43939393939394,1099,0
145,PENGADEGAN,80.91666666666667,1684,0
146,PENGGILINGAN,20.0,0,0
147,PENJARINGAN,29.166666666666668,0,0
148,PETAMBURAN,36.875,0,0
149,PETOGOGAN,47.30555555555555,0,0
150,PETUKANGAN SELATAN,45.0,0,0
151,PETUKANGAN UTARA,110.5,150,0
152,PINANG RANTI,36.6,120,0
153,PINANGSIA,20.0,0,0
154,PISANGAN BARU,42.75,1200,0
155,PISANGAN TIMUR,75.0,0,0
156,PLUIT,36.666666666666664,120,0
157,PONDOK BAMBU,43.875,404,0
158,PONDOK KELAPA,87.75,2597,0
159,PONDOK KOPI,27.5,220,0
160,PONDOK LABU,35.1,134,0
161,PONDOK PINANG,58.0,1039,0
162,PONDOK RANGGON,50.0,10,0
163,PULAU HARAPAN,11.071428571428571,0,0
164,PULAU HARAPAN ,12.5,0,0
165,PULAU KELAPA,27.5,0,0
166,PULAU PANGGANG,25.0,0,0
167,PULAU PARI,30.0,0,0
168,PULAU TIDUNG,40.0,0,0
169,PULAU UNTUNG JAWA,27.5,0,0
170,PULO,52.5,16,0
171,PULO GADUNG,30.0,0,0
172,PULO GEBANG,32.5,0,0
173,PULOGADUNG,55.0,0,0
174,RAGUNAN,29.166666666666668,0,0
175,RAMBUTAN,53.152631578947364,5184,0
176,RAWA BADAK SELATAN,31.5,0,0
177,RAWA BARAT,110.5,99,0
178,RAWA BUAYA,29.011904761904763,2133,0
179,RAWA BUNGA,45.25,4560,0
180,RAWA TERATE,86.66666666666667,2759,0
181,RAWAJATI,25.375,753,0
182,RAWAMANGUN,30.0,0,0
183,RAWASARI,25.0,0,0
184,ROROTAN,39.0,1300,0
185,SEMANAN,56.0,2112,0
186,SEMPER BARAT,32.5,1222,0
187,SEMPER TIMUR,51.25,320,0
188,SERDANG,25.0,0,0
189,SETU,62.388888888888886,47,0
190,SLIPI,50.5,0,0
191,SRENGSENG,41.63888888888889,15,0
192,SRENGSENG SAWAH,20.0,372,0
193,SUKA PURA,80.0,278,0
194,SUKABUMI SELATAN,39.2,0,0
195,SUKABUMI UTARA,58.888888888888886,0,0
196,SUKAPURA,55.0,566,0
197,SUMUR BATU,30.0,0,0
198,SUNTER JAYA,20.0,0,0
199,SUSUKAN,30.0,1868,0
200,TANAH TINGGI,30.0,0,0
201,TANGKI,35.0,0,0
202,TANJUNG BARAT,52.75,0,0
203,TANJUNG DUREN SELATAN,20.0,0,0
204,TANJUNG DUREN UTARA,39.375,85,0
205,TANJUNG PRIOK,20.0,0,0
206,TEBET BARAT,40.0,0,0
207,TEGAL ALUR,40.1,1208,0
208,TEGAL PARANG,55.25,1058,0
209,TENGAH,47.5,0,0
210,TOMANG,45.25,24,0
211,TUGU SELATAN,40.0,192,0
212,TUGU UTARA,37.5,0,0
213,UJUNG MENTENG,50.5,70,0
214,ULUJAMI,81.40384615384616,321,0
215,UTAN KAYU SELATAN,42.75,0,0
216,UTAN KAYU UTARA,35.0,0,0
217,WARAKAS,20.0,0,0
218,WIJAYA KUSUMA,50.5,208,0
