,kelurahan,avg_ketinggian,jumlah_terdampak_jiwa,cluster
0,BALEKAMBANG,37.5,0,0
1,BANGKA,52.5,0,0
2,BATU AMPAR,40.0,0,0
3,BIDARA CINA,59.5,3665,1
4,CAWANG,61.25,1384,0
5,CENGKARENG BARAT,45.0,0,0
6,CENGKARENG TIMUR,35.0,0,0
7,CIBUBUR,15.0,0,0
8,CIKOKO,25.0,0,0
9,CILANDAK BARAT,45.0,0,0
10,CILANDAK TIMUR,70.0,0,0
11,CILILITAN,75.0,0,0
12,CILINCING,22.5,0,0
13,CIPEDAK,60.0,0,0
14,CIPETE UTARA,53.75,0,0
15,CIPINANG MELAYU,39.375,0,0
16,CIPINANG MUARA,30.0,0,0
17,CIPULIR,25.625,0,0
18,CIRACAS,50.0,0,0
19,DUREN TIGA,55.0,0,0
20,DURI KEPA,27.5,0,0
21,DURI KOSAMBI,35.0,0,0
22,GROGOL SELATAN,30.0,0,0
23,GUNUNG,65.0,0,0
24,JAGAKARSA,17.5,0,0
25,JATI PADANG,36.666666666666664,0,0
26,JATI PULO,40.0,0,0
27,JATINEGARA,20.0,0,0
28,JATIPADANG,45.0,240,0
29,JELAMBAR ,35.0,0,0
30,JELAMBAR BARU,30.0,0,0
31,JEMBATAN LIMA,40.0,0,0
32,JOGLO,15.0,0,0
33,KALIBARU,30.0,0,0
34,KALIBATA,35.0,0,0
35,KALISARI,50.0,0,0
36,KAMAL,5.75,0,0
37,KAMAL ,30.0,0,0
38,KAMAL MUARA,22.166666666666668,0,0
39,KAMAL MUARA ,6.5,0,0
40,KAMPUNG MELAYU,48.214285714285715,5824,1
41,KAPUK,32.5,0,0
42,KEBAYORAN LAMA SELATAN ,50.0,0,0
43,KEBON BARU,19.166666666666668,7,0
44,KEBON BAWANG,10.0,0,0
45,KEBON MANGGIS,15.0,0,0
46,KEBON PALA,35.0,0,0
47,KEDAUNG KALI ANGKE,37.5,85,0
48,KEDOYA SELATAN,26.666666666666668,0,0
49,KEDOYA UTARA,28.75,0,0
50,KEL BALEKAMBANG,67.5,0,0
51,KEL CILANDAK BARAT,60.0,0,0
52,KEL PETOGOGAN,40.0,0,0
53,KEL PONDOK LABU,50.0,0,0
54,KEL.CAWANG,45.0,0,0
55,KELAPA DUA WETAN,20.0,0,0
56,KELAPA GADING BARAT,15.0,0,0
57,KEMBANGAN SELATAN,20.0,0,0
58,KEMBANGAN UTARA,45.625,138,0
59,KOTA BAMBU UTARA,22.5,0,0
60,KRAMAT,20.0,0,0
61,KUNINGAN BARAT,30.0,0,0
62,LENTENG AGUNG,40.0,0,0
63,MAKASAR,55.0,0,0
64,MANGGARAI,45.0,0,0
65,MARUNDA,15.0,0,0
66,PALMERAH,40.0,0,0
67,PEGADUNGAN,50.0,0,0
68,PEGANGSAAN DUA,25.0,0,0
69,PEJAGALAN,17.5,0,0
70,PEJATEN TIMUR,43.75,1401,0
71,PEKAYON,40.0,0,0
72,PENGADEGAN,80.0,639,0
73,PENGEDEGAN,80.0,12,0
74,PENJARINGAN,18.75,0,0
75,PETOGOGAN,43.333333333333336,0,0
76,PLUIT,30.75,0,0
77,PONDOK LABU,25.0,0,0
78,PONDOK PINANG,35.0,0,0
79,RAMBUTAN,30.0,0,0
80,RAWA BADAK SELATAN,15.0,0,0
81,RAWA BUAYA,36.25,0,0
82,RAWA TERATE,18.75,0,0
83,RAWAJATI,43.333333333333336,0,0
84,ROROTAN,32.5,0,0
85,SEMPER TIMUR,23.75,0,0
86,SRENGSENG SAWAH,30.0,0,0
87,SUKABUMI SELATAN ,60.0,0,0
88,SUKAPURA,15.0,0,0
89,SUNGAI BAMBU,15.0,0,0
90,TANJUNG PRIOK,21.25,0,0
91,TEGAL ALUR,47.5,1264,0
92,TUGU SELATAN,20.0,0,0
93,WARAKAS,50.0,0,0
94,WIJAYA KUSUMA ,15.0,0,0
